B&I_No,GBT_No,Wales_No,Scot_No,Book_Name,Link,Latitude,Longitude,Grid_Reference
,,,23,The Tinnis Ash,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=75114,55.55145806,-2.97760795,NT3842129074
,,,25,The Polwarth Thorn,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=113317,55.744762,-2.4107744,NT74315023
,,,26,The Prestonhall Beech,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=102840,55.880436,-2.9710275,NT39356568
,,,27,The Wallace Yew,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=153615,55.835373,-4.4885712,NS4424663040
,,,28,The Roslin Sweet Chestnut,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=8263,55.8565,-3.15488,NT2780463193
,,,31,The Whittingehame Yew,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=11406,55.95085,-2.63748,NT6028973274
,,,32,The Whittengeham Eucalyptus,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=247386,55.950273,-2.6390063,NT6019373211
,,,37,The Royal Botanic Garden Silver Birch,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=247388,55.965468,-3.2100959,NT2456075379
,,,38,The Comiston House Austrian Pine,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=247390,55.905554,-3.2154112,NT2411168717
,,,40,The Four Disciples,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=153616,55.88524,-3.33614,NT1652066596
,,,41,The Hopetoun House Morinda Spruce,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=247392,55.993655,-3.4659086,NT0865978825
,,,42,The Carnegie Tree,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=185353,56.069444,-3.4701822,NT0857287265
,,,43,The Cockairnie Sweet Chestnut,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=74631,56.05216,-3.33468,NT16978517
,,,44,Lady Miller's Beech,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=110995,56.30936,-3.29021,NO2027513742
,,,45,The Balmerino Sweet Chestnut,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=180,56.40995,-3.04086,NO3587124676
,,,46,St Andrews Holm Oak,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=191,56.33911,-2.79423,NO5099716588
,,,47,Queen Mary's Thorn,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=189,56.33876,-2.79435,NO50991655
,,,48,The Bogle Bush,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=243508,56.481763,-3.3074579,NO1957332950
,,,49,Cromwell's Tree,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=2421,56.34817,-3.41264,NO12791821
,,,50,King James VI Sycamore,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4183,56.42218,-3.43824,NO11382648
,,,51,Scone's Sitkas,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=133300,56.421526,-3.4282616,NO1199426394
,,,53,The King of the Forest,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=6509,56.444,-3.39267,NO14242885
,,,54,The Pepperwell Oak,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=16145,56.41545,-3.55671,NO0405625890
,,,55,The Mother and Father Trees,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=247393,56.440236,-3.5678752,NO0343028664
,,,56,Eppie Callum's Oak,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=153666,56.37778,-3.8533,NN8564722151
,,,58,The Dibble Tree,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=23392,56.50023,-2.7178,NO55913447
,,,60,Old Maggie,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=247394,56.581037,-3.1636307,NO2861843840
,,,61,The Gallows Tree,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=247395,56.56439,-2.8402112,NO4846241697
,,,62,Pitmuies Sweet Chestnut,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=118,56.63802,-2.70672,NO56754980
